,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
654,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME,랩/힙합 / 가요,카카오엔터테인먼트,(주)RBW,2014.11.03,819840,13386821
655,너를 보내며,젝스키스,Special,댄스 / 가요,카카오엔터테인먼트,DSP 미디어,1998.10.03,172651,1218747
656,So Good,카라 (KARA),KARA 6th Mini Album 'Day&Night',댄스 / 가요,카카오엔터테인먼트,DSP 미디어,2014.08.18,19046,137577
657,미치겠어 (Feat. M.A.C),MC몽,Show's Just Begun,랩/힙합 / 가요,NHN벅스,SCM엔터테인먼트,2008.04.17,282473,2705295
658,블루메이즈 (Bluemaze),하성운,BXXX,R&B/소울 / 가요,카카오엔터테인먼트,스타크루 이엔티,2019.07.08,149874,7919492
659,오늘밤은 어둠이 무서워요,Various Artists,Life,전체 / 가요,해피로봇 레코드,해피로봇레코드,2010.05.04,345628,3513906
660,죽도록 사랑해 2 (Feat. 조성모),MC몽,Humanimal,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",M.A. Wild Dog,2009.07.23,77910,625457
661,망설이다,GOT7 (갓세븐),Eyes On You,전체 / 가요,Dreamus,(주)JYP엔터테인먼트,2018.03.12,65086,923036
662,만약에 우리 둘 중 하나라도 (If We Were) (한반도 OST) (화요비) (MR),Musicsum (뮤직섬),MR반주 뮤직섬 2012 최신가요 13,전체 / 가요,블루미디어 (BLUE MEDIA),(주)블루아이씨티,2012.06.18,46,184
663,호랑나비 (Feat. Gill & 리듬파워 & 김흥국),Various Artists,쇼미더머니 5 Episode 3,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2016.07.02,976522,15507956
664,팔베개 (Feat. 기현) (Pillow),소유 (SOYOU) & 기리보이,NO.MERCY (노머시) Part.2,랩/힙합 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2015.01.15,896533,12480824
665,궁금's,하성운,Twilight Zone,댄스 / 가요,카카오엔터테인먼트,스타크루 이엔티,2020.06.08,29823,3374249
666,그렇게 사랑하고 그렇게 웃었습니다,버블 시스터즈 (Bubble Sisters),Dramatic Episode,전체 / 가요,오감엔터테인먼트,신세계음향공업㈜,2007.02.08,268831,2079754
667,"너, 한눈 팔지마!",걸스데이 (Girl's Day),Girl's Day Party #4,댄스 / 가요,㈜인터파크,㈜인터파크,2011.09.02,61710,370183
668,괜찮을까,박보람,괜찮을까,발라드 / 가요,지니뮤직,"Stone Music Entertainment, FRON+DESK",2018.07.04,201271,2415113
669,처럼 (Feat. 이하이),무한도전,무한도전 위대한 유산,랩/힙합 / 가요,카카오엔터테인먼트,MBC (문화방송),2016.12.31,557418,5188969
670,죽을 것만 같아,환희,HWANHEE,R&B/소울 / 가요,카카오엔터테인먼트,에이치엔터컴,2011.07.29,46769,469090
